channelID	time	energy	tot
47	691800400434	1.18581	304566
342	691800405833	1.04314	304167
349	691811180412	2.4445	304587
35	691811197266	0.86134	302733
46	691852460830	3.18884	304169
343	691852462302	2.13436	302697
46	692000271786	4.04285	303214
343	692000270409	3.93752	304590
46	692122341689	2.01944	303310
343	692122343863	1.44829	306137
343	692336928081	9.5499	301919
46	692336932213	2.48907	302787
35	692352432946	4.12126	302054
349	692352446864	1.34378	303135
343	692417969153	4.28633	305847
46	692417976117	1.23928	303883
35	692452335172	12.7324	299828
349	692452336900	2.10546	303099
35	692487170058	1.9586	304942
349	692487172368	2.20647	307631
47	692544156017	18.0012	298982
35	692544162034	1.53122	302965
342	692544158342	2.73223	301657
45	692544159219	2.89632	300780
35	692792250450	2.47606	304549
349	692792261935	1.4082	303065
35	692816745943	3.50354	304056
349	692816744591	5.92554	300409
47	692911562432	7.40657	297568
342	692911568187	1.27967	306812
45	692911569673	0.957943	305326
342	692927929958	6.83249	300041
47	692927930839	6.57398	299161
35	693051716873	2.32256	303126
349	693051715126	4.6808	304873
46	693068902325	2.59478	302675
343	693068901365	5.22054	303634
349	693085971601	4.68633	303399
35	693085972400	5.80811	302599
343	693177798754	1.7289	306246
46	693177802169	1.87834	302831
46	693252764991	2.81808	300008
343	693252769035	1.48758	305965
343	693404813819	3.67235	301181
46	693404814016	4.3896	300984
47	693477417886	9.3932	302114
342	693477431708	1.05638	303291
342	693659015577	13.8068	299422
47	693659013323	4.32427	306677
46	693674033375	9.03079	301625
343	693674034422	3.79257	300578
46	693696878165	5.00318	301834
343	693696877709	3.93159	302291
47	694001631267	2.4633	303732
342	694001641500	1.17775	303499
46	694069170150	4.19634	299849
343	694069173628	1.72251	306372
349	694307830599	6.85619	299400
35	694307830935	9.6645	299065
349	694321258881	7.49261	301118
35	694321260062	5.89342	299938
35	694368465072	3.59887	299928
349	694368463520	5.94478	301480
47	694435301696	3.07486	303303
342	694435300383	5.96555	299616
343	694502322102	8.88384	302898
46	694502324619	2.82957	300380
47	694540507513	3.042	302486
342	694540507917	4.51241	302082
349	694649704915	3.49767	305085
35	694649703269	22.6517	296731
33	694649714808	0.966908	305192
349	694706322021	4.79318	302978
35	694706322097	7.35231	297902
342	694744286613	3.60456	303387
47	694744285616	8.28105	299384
35	694744316904	1.43129	303096
349	694744317731	2.05598	302269
342	694966626180	3.23443	303819
47	694966624079	16.1431	300920
45	694966632013	1.33215	302986
35	694966634377	0.93277	305622
349	695025745091	12.2572	299908
35	695025754901	1.03287	305098
47	695031846264	1.44576	303735
342	695031849798	1.29833	305202
349	695092988742	5.03041	301258
35	695092994543	1.42368	305457
343	695205067600	5.47256	302399
46	695205069460	2.69114	305540
342	695333468493	19.021	306506
47	695333477138	2.02996	302861
46	695414337325	7.56612	302675
343	695414335793	11.5027	299206
46	695434182630	2.76396	302370
343	695434180076	11.9922	299924
46	695531881530	4.67228	303469
343	695531881363	2.26744	303636
47	695547005792	1.66699	304207
342	695547003725	1.38811	306275
342	695672250512	10.3222	299487
47	695672252319	3.4131	302681
349	695742173520	6.58301	301480
35	695742174081	9.03236	300919
349	695865366303	2.92501	303696
35	695865376765	1.19736	303234
46	695901345955	10.5907	299045
343	695901346233	3.6321	303766
342	695934400755	2.89552	304244
47	695934401193	2.57341	303806
343	695942273813	1.44698	306186
46	695942284642	1.08284	305358
35	696016059939	2.59338	305060
349	696016064009	1.7406	305991
47	696045797310	9.94786	297689
342	696045798628	2.7243	306371
349	696140134354	6.94707	300645
35	696140135508	3.77998	304492
46	696211345373	4.14045	304627
343	696211360091	1.23572	304908
343	696250380713	23.0908	299287
349	696250381839	9.14833	303160
46	696250383183	4.33625	301817
342	696250394620	1.4968	305380
35	696250410913	0.870338	304087
35	696374868291	9.5633	301708
349	696374868969	3.45933	301031
35	696452194787	3.78537	300213
349	696452194290	3.39053	305709
35	696526384242	1.75389	300758
349	696526388265	1.37793	306735
349	696653212101	4.15067	302899
35	696653214474	2.03495	305526
343	696662176455	5.9922	303545
46	696662178375	2.02306	301625
47	696676352271	5.11728	302729
342	696676359651	1.52619	305349
349	696746298459	2.73338	301541
35	696746298848	6.04765	301151
349	696887243257	4.02212	301742
35	696887249076	1.52235	305924
46	696925461085	1.67738	303915
343	696925458962	2.70197	301038
47	696930583063	6.50618	301936
342	696930582449	3.02219	302550
343	697021662579	4.35625	302420
46	697021663823	3.67258	301176
343	697036480665	2.59088	304335
46	697036483358	1.78654	306641
46	697075952593	3.91328	302407
343	697075958016	1.51979	306984
46	697158892452	12.2425	297548
343	697158893992	2.63022	306007
46	697178354720	3.84645	300279
343	697178353216	6.80855	301783
47	697196919324	3.60863	300675
342	697196934395	1.45319	305605
349	697371419141	3.14576	305858
35	697371418062	10.9437	301937
343	697388926926	2.98705	303074
46	697388930321	1.74686	304679
35	697394907461	2.0472	302538
349	697394904131	1.97601	305869
343	697456142770	5.09169	302230
46	697456143118	3.53027	301881
343	697548453819	3.45538	301181
46	697548453326	7.76171	301674
35	697591023757	4.01775	301243
349	697591032837	1.39506	307163
342	697694080088	15.7598	299912
47	697694087181	1.7384	302819
343	697777661298	6.27285	298701
46	697777664482	2.46117	305518
46	697789357086	2.9122	302914
343	697789356270	2.63783	303730
47	697889504519	10.417	300481
342	697889505860	2.00178	304140
35	697905115302	6.56496	299698
349	697905113695	10.474	301304
342	697936826708	3.62353	303291
47	697936827011	5.45411	297988
349	697964331809	10.1386	298191
35	697964333849	4.08335	301151
349	697984554592	6.22458	300407
342	697984558875	1.58064	306125
35	697984560163	2.17796	304836
35	698123050393	7.03623	299606
349	698123051960	2.43475	303039
343	698151527995	11.431	302005
46	698151537023	1.52737	302977
349	698399286982	5.19398	303017
35	698399302026	0.813576	302974
349	698432497109	14.5923	297891
35	698432502873	2.30239	302127
349	698447548234	3.4369	301765
35	698447548090	6.17608	301910
343	698517786646	9.5929	298354
46	698517788695	2.19395	306304
349	698578466837	2.39835	303162
35	698578480416	1.57032	304583
342	698751184940	5.14291	300059
47	698751185227	5.93836	299773
343	698771139959	1.27412	305040
46	698771150008	1.34767	304991
47	698810526998	10.0925	298001
342	698810527354	2.76694	302645
343	698822587960	6.30429	302039
46	698822588165	5.45775	301834
46	698848507403	2.97525	302597
343	698848511110	1.67	303890
343	698950556546	7.63642	303453
46	698950565776	1.49788	304224
342	698950571331	1.60533	303668
349	698961809205	2.72141	305794
35	698961809909	1.71514	305091
35	699040992339	3.55855	302660
349	699040995209	1.44761	304790
47	699071827756	7.50674	302244
342	699071828853	2.76925	306146
349	699119030203	2.40382	304797
35	699119029980	3.79988	300020
343	699283477579	2.19214	307420
46	699283483503	1.26886	306497
349	699310703469	4.42184	301530
35	699310704909	2.15116	305091
47	699337720746	1.54808	304254
342	699337720478	1.69262	304521
35	699368657370	12.0989	297630
